Qty,Designator,Footprint,Comment,LCSC Part #
3,"R3, R11, R19",R0603,1.0k,C21190
10,"R6, R7, R8, R9, R10, R14, R16, R17, R18, R20",R0603,100k,C25803
6,"C3, C4, C5, C7, C8, C10",C0603,100n,C14663
1,R1,R0603,10M,C7250
2,"C6, C9",C0603,10p,C1634
2,"D1, D2",SOD123,1N5819HW,C169540
1,R15,R0603,33k,C4216
2,"C1, C2",PANASONIC_A,4.7u,C29823
6,"R2, R4, R5, R12, R13, R21",R0603,51,C23197
2,"IC3, IC5",SOT23-5,LM321MF,C131103
1,IC1,TSSOP14,TL074PW,C96507
2,"IC2, IC4",TSSOP8,TL072PW,C90748
